CITY,YEAR,TEMP_MEAN,PRCP_TOTAL,MAX_TEMP,MIN_TEMP,DEW_MEAN,WIND_SPEED
Dehradun,2000,21.35157295850067,1063.244,41.72222222222222,3.888888888888889,15.162276258020938,0.5760831743902439
Dehradun,2001,21.645930052615288,1291.0819999999999,40.111111111111114,2.999999999999999,14.972455648926237,0.6489240090140845
Dehradun,2002,21.638117283950617,779.78,38.72222222222222,1.7777777777777795,15.173745767928594,0.6753506511111111
Dehradun,2003,21.370676461585553,1028.7,40.111111111111114,1.7777777777777795,14.141049382716048,0.7093912000000001
Dehradun,2004,21.674931129476583,1360.1699999999998,41.5,3.2222222222222205,14.964702271332106,0.7365051215686275
Dehradun,2005,21.518162393162395,906.2719999999999,41.111111111111114,4.2777777777777795,14.32717759310557,0.6809987977900552
Dehradun,2006,22.06394993894994,1075.69,37.611111111111114,1.5000000000000016,15.39761248852158,0.6585459607843137
Dehradun,2007,21.61614730878187,855.9799999999999,40.27777777777778,2.5,15.392498430634024,0.6604703138810198
Dehradun,2008,21.35919804101622,1347.9779999999998,38.72222222222222,1.6111111111111103,15.310339506172841,0.646164276923077
Dehradun,2009,21.94276556776557,963.93,41.888888888888886,3.7222222222222237,14.642026323844506,0.6083797690607735
Dehradun,2010,22.404151404151406,1133.6019999999999,41.22222222222222,3.111111111111112,14.909741248097413,0.5945949436464089
Dehradun,2011,21.30687093779016,1259.84,37.888888888888886,2.6111111111111125,15.446141975308642,0.5790417977272727
Dehradun,2012,21.65573770491803,1017.5239999999999,43.111111111111114,2.6111111111111125,14.306466302367943,0.46909356473829206
Dehradun,2013,21.44734432234432,2043.4299999999998,40.72222222222222,-0.4999999999999992,15.564840182648403,0.41353383076923084
Dehradun,2014,21.410197869101978,1237.9959999999999,40.388888888888886,4.000000000000002,14.998934550989347,0.46201299506849314
Dehradun,2015,21.61978691019787,1134.11,40.77777777777778,3.3888888888888897,15.480974124809741,0.4257904997260274
Dehradun,2016,22.326958105646632,757.9359999999999,40.22222222222222,3.611111111111111,16.56253794778385,0.4682145117808219
Dehradun,2017,22.11993911719939,1292.606,39.77777777777778,2.8888888888888906,16.49421613394216,0.47628469230769227
Dehradun,2018,21.921703296703296,1112.774,40.72222222222222,2.7777777777777777,16.059371184371184,0.5600778754820936
Dehradun,2019,21.93531202435312,901.6999999999999,40.611111111111114,3.111111111111112,16.48675799086758,0.523849347368421
Dehradun,2020,21.520188221007892,1127.76,40.111111111111114,3.611111111111111,16.898299939283543,0.5284998469945356
Dehradun,2021,22.069060773480665,1009.904,38.77777777777778,3.7777777777777763,16.9073050951504,0.6163297058495821
Dehradun,2022,22.645357686453575,1065.2759999999998,41.611111111111114,4.8888888888888875,17.160121765601218,0.48843913846153847
Dehradun,2023,22.32102185287781,1129.792,39.5,4.500000000000001,16.754820936639117,0.5378148631578947
Dehradun,2024,22.83746031746032,801.6239999999999,43.22222222222222,4.000000000000002,16.984126984126984,0.49966112643678157
Delhi,2000,24.766545233758347,718.3119999999999,43.27777777777778,4.222222222222223,16.714764079147642,1.4295006066298341
Delhi,2001,24.5242673992674,554.736,44.5,2.999999999999999,16.857164964407307,1.4235785068870523
Delhi,2002,25.328907203907207,609.8539999999999,46.0,4.388888888888888,16.106190476190477,1.2437107692307694
Delhi,2003,24.370319634703193,1134.618,45.611111111111114,3.4999999999999982,16.090683998761993,1.2153916650137742
Delhi,2004,25.15406800242866,575.564,44.5,3.7222222222222237,16.19491260923845,1.2485925370165747
Delhi,2005,24.752207001522066,696.976,45.0,3.277777777777777,14.858024691358025,1.4374339175487467
Delhi,2006,25.421004566210044,695.9599999999999,44.5,0.22222222222222143,16.373321123321123,1.3741997260273973
Delhi,2007,24.786065070595455,800.3539999999999,44.888888888888886,2.6111111111111125,16.41012619267467,1.3932739578947368
Delhi,2008,24.557534246575344,916.9399999999999,43.0,1.8888888888888882,16.89117199391172,1.436085887431694
Delhi,2009,25.4,643.128,44.22222222222222,4.000000000000002,16.14331501831502,1.422679249723757
Delhi,2010,25.542320714065866,1105.154,45.388888888888886,5.222222222222221,17.427516158818097,1.2515230870056497
Delhi,2011,24.650154320987653,691.3879999999999,44.111111111111114,2.8888888888888906,17.258333333333333,1.6785903101123596
Delhi,2012,24.93503339404979,627.634,45.388888888888886,4.000000000000002,15.689954337899543,1.9443382078651685
Delhi,2013,24.857838660578388,1133.348,45.72222222222222,1.8888888888888882,17.6675799086758,1.7632962172701951
Delhi,2014,24.94474885844749,512.064,45.5,2.6111111111111125,17.034702769996887,1.6939702983425415
Delhi,2015,25.242465753424657,763.016,45.5,0.0,17.843835616438355,1.714955053443526
Delhi,2016,26.84246575342466,531.1139999999999,44.0,4.222222222222223,17.96027397260274,1.7986432079999999
Delhi,2017,26.044077134986225,765.048,45.0,0.7222222222222207,17.26247321701867,1.8770684878873238
