CITY,MONTH,TEMP_MEAN,PRCP_MEAN,MAX_TEMP,MIN_TEMP,DEW_MEAN,WIND_SPEED
Dehradun,1,12.075410432520554,48.53432,28.22222222222222,-0.4999999999999992,7.767683639604786,0.5201395346266221
Dehradun,2,15.257590678910985,53.3908,32.5,2.1111111111111094,9.497167382270064,0.6029495802503193
Dehradun,3,20.133301949582755,45.93335999999999,36.111111111111114,5.222222222222221,11.719870134626037,0.6891383940988791
Dehradun,4,25.256328309919112,32.23768,41.72222222222222,10.999999999999998,12.925653408745363,0.7515911618059771
Dehradun,5,28.094533185020392,57.63767999999999,43.111111111111114,14.11111111111111,16.214754171301447,0.7298109202562619
Dehradun,6,28.56637511403029,217.28176,43.22222222222222,17.22222222222222,20.742424010217114,0.658784045050115
Dehradun,7,26.88327718040621,279.13584,37.77777777777778,20.500000000000004,24.104100529100528,0.4769039703053764
Dehradun,8,26.444958525345623,311.7088,36.27777777777778,20.222222222222225,23.936006106464887,0.45191447764301074
Dehradun,9,25.660878108564766,10.728959999999999,36.22222222222222,16.22222222222222,22.227898473883148,0.49526256596341833
Dehradun,10,22.360294968803927,37.470079999999996,36.0,8.61111111111111,16.909690849915545,0.5279356706248425
Dehradun,11,17.490191199746754,3.9725599999999996,31.61111111111111,5.499999999999999,12.276361725120346,0.4834985786553493
Dehradun,12,13.346355374284185,9.91616,30.11111111111111,0.9999999999999984,8.692159189222593,0.463451669810901
Delhi,1,13.195125448028673,22.48408,29.0,0.22222222222222143,8.97247311827957,1.3453009309419355
Delhi,2,17.564534646962233,25.684479999999997,34.111111111111114,2.8888888888888906,10.953794854953475,1.6527920062803185
Delhi,3,23.394995353776718,24.51608,40.111111111111114,6.7777777777777795,13.773740873489977,1.7612945033567504
Delhi,4,29.528424885969713,12.72032,43.5,11.722222222222221,14.163158213689249,1.856241057421185
Delhi,5,32.82263749845507,46.837599999999995,46.77777777777778,15.777777777777779,17.928754736303123,2.0542689301505375
Delhi,6,33.315807407407405,82.74304000000001,45.77777777777778,17.88888888888889,22.342573690932312,2.135153476048838
Delhi,7,31.224444444444444,217.99295999999998,43.5,22.22222222222222,25.82352844227319,1.806828500079199
Delhi,8,30.433428912783754,205.9432,39.388888888888886,22.22222222222222,25.67647365410376,1.726098674384872
Delhi,9,29.453555555555553,127.83312,40.111111111111114,20.611111111111107,23.666781609195404,1.4726745948873563
Delhi,10,25.985412186379925,19.80184,38.0,12.5,18.28068817204301,0.8620894232192807
Delhi,11,19.88140170940171,3.06832,36.111111111111114,6.111111111111111,13.378370370370371,0.6720472213934222
Delhi,12,14.77075326494459,12.324079999999999,32.5,0.0,9.731805462859969,0.9475927028235818
Jodhpur,1,16.79053046594982,3.2918399999999997,32.22222222222222,1.7777777777777795,4.1056869772998805,0.7783600666429367
Jodhpur,2,20.599052174177462,7.2237599999999995,36.888888888888886,3.2222222222222205,4.792022878880733,0.821344585283576
Jodhpur,3,26.524609410899735,4.185919999999999,41.611111111111114,9.5,6.380358801644118,0.8788440790910762
Jodhpur,4,31.55871452809997,9.32688,44.22222222222222,14.222222222222221,8.915558207851095,0.9576744988622239
Jodhpur,5,34.89882186425704,18.2372,48.77777777777778,20.0,15.050422203841558,1.61804334046066
Jodhpur,6,34.18911797117315,42.74312,47.77777777777778,21.0,20.69313465709826,1.7013432563405286
Jodhpur,7,31.378874551971325,126.95936,44.388888888888886,21.888888888888893,23.615178511102872,1.3721165022451611
Jodhpur,8,29.560982590885814,115.17376,41.388888888888886,20.888888888888886,23.682754394947942,1.0754243460960573
Jodhpur,9,30.022268199233718,51.48072,42.388888888888886,20.27777777777778,21.37754168947272,0.8274550443034482
Jodhpur,10,28.253658468256912,5.811519999999999,41.5,12.777777777777779,13.335582746261277,0.35863662764975585
Jodhpur,11,22.886854700854702,2.46888,37.72222222222222,7.722222222222222,8.840176638176638,0.3428546979009333
Jodhpur,12,18.331197132616488,1.6865599999999998,34.77777777777778,2.7777777777777777,5.539684587813621,0.620868634460215
Mumbai,1,25.009605734767025,0.32512,37.388888888888886,10.0,14.633835125448028,2.0959068105462366
Mumbai,2,26.19836790123457,0.34543999999999997,40.0,12.222222222222221,15.340875055241337,2.2815778931310344
Mumbai,3,28.183124917031726,2.20472,42.0,13.38888888888889,18.07591981946104,2.5690558928172043
Mumbai,4,29.4204390520789,0.68072,38.0,19.0,22.155001317683308,2.8073481084873566
Mumbai,5,30.287531660692952,28.84424,36.5,21.999999999999996,24.11642542916431,3.402377920381164
Mumbai,6,29.215999999999998,35.52952,39.0,20.0,24.88558215336776,3.7860713140229887
Mumbai,7,27.951971326164877,390.39799999999997,33.611111111111114,21.999999999999996,24.88819313640671,4.1938802477419355
Mumbai,8,27.793449052739376,209.69223999999997,34.0,21.77777777777778,24.507509472606248,3.9562469476645163
Mumbai,9,27.961078270388615,79.93888,35.611111111111114,21.999999999999996,24.27740740740741,2.8138714949333337
Mumbai,10,29.241390681003587,76.64704,38.611111111111114,17.88888888888889,21.982268446421948,2.247060414726882
Mumbai,11,28.555770507908438,11.66368,38.22222222222222,14.38888888888889,18.063920227920228,2.171042468212909
Mumbai,12,26.397787335722818,9.387839999999999,37.72222222222222,11.38888888888889,16.194233318227386,2.050963872015128
